Jogada: (C 6 5) | Nos: 862 | Cortes-alpha: 45 | Cortes-beta: 6 | Tempo: 9.341s
Jogada: (C 7 5) | Nos: 2144 | Cortes-alpha: 132 | Cortes-beta: 20 | Tempo: 24.747s
Jogada: (D 7 4) | Nos: 1873 | Cortes-alpha: 91 | Cortes-beta: 13 | Tempo: 21.647s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.556s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 1.387s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.988s
Jogada: (E 5 3) | Nos: 1067 | Cortes-alpha: 118 | Cortes-beta: 20 | Tempo: 2.479s
Jogada: (C 6 4) | Nos: 872 | Cortes-alpha: 98 | Cortes-beta: 22 | Tempo: 2.146s
Jogada: (C 6 5) | Nos: 1483 | Cortes-alpha: 278 | Cortes-beta: 46 | Tempo: 3.358s
Jogada: (B 2 3) | Nos: 144 | Cortes-alpha: 26 | Cortes-beta: 2 | Tempo: 0.232s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.636s
Jogada: (B 1 3) | Nos: 874 | Cortes-alpha: 173 | Cortes-beta: 13 | Tempo: 1.437s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 1.784s
Jogada: (B 2 4) | Nos: 1485 | Cortes-alpha: 245 | Cortes-beta: 32 | Tempo: 2.586s
Jogada: (B 2 3) | Nos: 144 | Cortes-alpha: 26 | Cortes-beta: 2 | Tempo: 0.332s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.942s
Jogada: (B 1 3) | Nos: 874 | Cortes-alpha: 173 | Cortes-beta: 13 | Tempo: 1.745s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 1.740s
Jogada: (B 2 4) | Nos: 1485 | Cortes-alpha: 245 | Cortes-beta: 32 | Tempo: 2.429s
Jogada: (B 2 3) | Nos: 144 | Cortes-alpha: 26 | Cortes-beta: 2 | Tempo: 0.326s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.921s
Jogada: (B 1 3) | Nos: 874 | Cortes-alpha: 173 | Cortes-beta: 13 | Tempo: 1.586s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 1.710s
Jogada: (B 2 4) | Nos: 1485 | Cortes-alpha: 245 | Cortes-beta: 32 | Tempo: 2.427s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.651s
Jogada: (CC 5 3) | Nos: 596 | Cortes-alpha: 91 | Cortes-beta: 17 | Tempo: 1.320s
Jogada: (CC 3 3) | Nos: 550 | Cortes-alpha: 105 | Cortes-beta: 10 | Tempo: 1.349s
Jogada: (C 6 4) | Nos: 418 | Cortes-alpha: 94 | Cortes-beta: 14 | Tempo: 1.035s
Jogada: (B 1 3) | Nos: 790 | Cortes-alpha: 175 | Cortes-beta: 17 | Tempo: 1.897s
Jogada: (B 2 3) | Nos: 144 | Cortes-alpha: 26 | Cortes-beta: 2 | Tempo: 0.321s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.922s
Jogada: (B 1 3) | Nos: 874 | Cortes-alpha: 173 | Cortes-beta: 13 | Tempo: 1.616s
Jogada: (C 6 5) | Nos: 1034 | Cortes-alpha: 129 | Cortes-beta: 18 | Tempo: 1.706s
Jogada: (B 2 4) | Nos: 1485 | Cortes-alpha: 245 | Cortes-beta: 32 | Tempo: 2.470s
Jogada: (C 6 3) | Nos: 364 | Cortes-alpha: 45 | Cortes-beta: 6 | Tempo: 0.808s
Jogada: (C 6 3) | Nos: 364 | Cortes-alpha: 45 | Cortes-beta: 6 | Tempo: 0.811s
Jogada: (C 6 5) | Nos: 667 | Cortes-alpha: 122 | Cortes-beta: 20 | Tempo: 1.359s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.898s
Jogada: (CC 5 3) | Nos: 596 | Cortes-alpha: 91 | Cortes-beta: 17 | Tempo: 1.297s
Jogada: (E 3 3) | Nos: 374 | Cortes-alpha: 98 | Cortes-beta: 10 | Tempo: 0.938s
Jogada: (C 6 4) | Nos: 592 | Cortes-alpha: 71 | Cortes-beta: 28 | Tempo: 1.250s
Jogada: (C 6 5) | Nos: 889 | Cortes-alpha: 170 | Cortes-beta: 27 | Tempo: 1.859s
Jogada: (C 6 3) | Nos: 394 | Cortes-alpha: 57 | Cortes-beta: 8 | Tempo: 0.528s
Jogada: (E 5 3) | Nos: 1177 | Cortes-alpha: 170 | Cortes-beta: 31 | Tempo: 1.522s
Jogada: (C 6 4) | Nos: 1439 | Cortes-alpha: 127 | Cortes-beta: 18 | Tempo: 1.781s
Jogada: (C 5 2) | Nos: 1504 | Cortes-alpha: 264 | Cortes-beta: 35 | Tempo: 1.980s
Jogada: (C 6 3) | Nos: 92 | Cortes-alpha: 2 | Cortes-beta: 7 | Tempo: 0.137s
Jogada: (C 6 5) | Nos: 239 | Cortes-alpha: 5 | Cortes-beta: 52 | Tempo: 0.350s
Jogada: (C 6 4) | Nos: 335 | Cortes-alpha: 11 | Cortes-beta: 29 | Tempo: 0.474s
Jogada: (C 7 4) | Nos: 399 | Cortes-alpha: 8 | Cortes-beta: 39 | Tempo: 0.544s
Jogada: (C 5 3) | Nos: 316 | Cortes-alpha: 12 | Cortes-beta: 22 | Tempo: 0.441s
Jogada: (CE 5 4) | Nos: 173 | Cortes-alpha: 10 | Cortes-beta: 23 | Tempo: 0.267s
Jogada: (E 5 5) | Nos: 310 | Cortes-alpha: 13 | Cortes-beta: 17 | Tempo: 0.430s
Jogada: (CC 5 4) | Nos: 222 | Cortes-alpha: 11 | Cortes-beta: 12 | Tempo: 0.288s
Jogada: (C 7 5) | Nos: 387 | Cortes-alpha: 11 | Cortes-beta: 20 | Tempo: 0.511s
